Gene.ID,Gene.Name,Undifferentiated ,Differentiated,FDR,AveExpr,P value,SRR3133925_nodiff_rep1,SRR3133926_nodiff_rep2,SRR3133927_nodiff_rep3,SRR3133928_diff_rep1,SRR3133929_diff_rep2,SRR3133930_diff_rep3,SRR3133925_nodiff_rep1 CPM,SRR3133926_nodiff_rep2 CPM,SRR3133927_nodiff_rep3 CPM,SRR3133928_diff_rep1 CPM,SRR3133929_diff_rep2 CPM,SRR3133930_diff_rep3 CPM
ENSG00000138138,ATAD1,0,0.0506329970666579,0.593959361256266,7.02578065240855,0.523953114799454,2756,2552,2598,2612,2971,3035,126.284,123.374,137.759,129.647,127.236,138.129
ENSG00000157106,SMG1,0,-0.122344215113497,0.593959361256266,7.43243107967466,0.524010347084937,3899,3703,3528,2296,4457,4481,178.658,179.018,187.073,113.963,190.875,203.939
ENSG00000112297,CRYBG1,0,-0.197156724376868,0.594323758070489,0.496349361569873,0.524387538920274,39,25,30,17,38,33,1.787,1.209,1.591,0.844,1.627,1.502
ENSG00000164442,CITED2,0,0.400677901677465,0.594323758070489,0.0374669985168579,0.524422711351519,24,15,15,51,29,11,1.100,0.725,0.795,2.531,1.242,0.501
ENSG00000109670,FBXW7,0,-0.0696902511857891,0.594521297297745,4.96160477188206,0.524660942430916,749,624,606,526,698,771,34.320,30.167,32.133,26.108,29.892,35.090
ENSG00000186416,NKRF,0,-0.06383618243105,0.594521297297745,4.31320958784285,0.524679474993835,412,428,413,395,438,428,18.878,20.691,21.899,19.606,18.758,19.479
ENSG00000168811,IL12A,0,0.142075357063002,0.594615049790698,2.28718609755921,0.524844684725104,106,97,85,72,124,148,4.857,4.689,4.507,3.574,5.310,6.736
ENSG00000167977,KCTD5,0,-0.0620827461983131,0.594615049790698,5.61318775500097,0.524839036720862,1094,1088,911,1028,1087,996,50.129,52.598,48.306,51.025,46.552,45.330
ENSG00000240891,PLCXD2,0,0.111495473674864,0.5949235058789,4.21506240622564,0.525158204322644,390,361,357,280,544,468,17.870,17.452,18.930,13.898,23.297,21.300
ENSG00000203965,EFCAB7,0,0.06639512854056,0.594957236622383,3.41543077141344,0.525229238710329,221,215,206,221,252,235,10.127,10.394,10.923,10.969,10.792,10.695
ENSG00000169299,PGM2,0,0.0563757195329107,0.595298749961266,4.93576227717472,0.525572010107967,669,591,593,642,715,669,30.654,28.571,31.444,31.866,30.621,30.447
ENSG00000010017,RANBP9,0,-0.0459622291060908,0.595401914015582,5.8715184451332,0.525745670676866,1301,1242,1132,1165,1322,1255,59.614,60.043,60.024,57.825,56.616,57.117
ENSG00000186166,CCDC84,0,0.120454279069367,0.595401914015582,4.13606411616137,0.525711085344477,370,360,307,468,350,385,16.954,17.404,16.279,23.229,14.989,17.522
